asas_sn_id,mag_bin,g_n_peaks,g_biweight_R,g_peaks_idx,g_peaks_jd,g_total_score,g_best_score,v_n_peaks,v_biweight_R,v_peaks_idx,v_peaks_jd,v_total_score,v_best_score,jd_first,jd_last,n_rows_g,n_rows_v,g_n_dip_runs,g_n_jump_runs,g_n_dip_points,g_n_jump_points,g_most_recent_dip,g_most_recent_jump,g_max_depth,g_max_height,g_max_dip_duration,g_max_jump_duration,g_dip_fraction,g_jump_fraction,g_is_dip_dominated,v_n_dip_runs,v_n_jump_runs,v_n_dip_points,v_n_jump_points,v_most_recent_dip,v_most_recent_jump,v_max_depth,v_max_height,v_max_dip_duration,v_max_jump_duration,v_dip_fraction,v_jump_fraction,v_is_dip_dominated
120259184943,test,10,13.15995,"[111, 250, 432, 523, 641, 750, 896, 1061, 1257, 1324]","[2458480.5908659, 2458698.9829361, 2459040.107181, 2459148.8188229, 2459371.8116231, 2459498.5623752, 2459781.7949719, 2460059.9158877, 2460522.9689165, 2460569.8345142]",299.4060727907255,1880607.3170995372,4,12.10035,"[88, 332, 515, 578]","[2457227.9400056, 2457853.102884, 2458261.0714112, 2458372.9379155]",1.060844543538705,6.582383187615451,2458223.9657461,2460842.9451442,1353,617,0,0,0,0,,,,,,,0.0,0.0,False,0,0,0,0,,,,,,,0.0,0.0,False
223339338105,test,5,13.3668,"[144, 259, 442, 1164, 1305]","[2458270.6517544, 2458599.7521139, 2458919.0500531, 2460129.8860919, 2460560.8124237]",153.20963740362853,1809.8998076278356,3,13.0718,"[21, 248, 386]","[2456445.0221359, 2457473.0368634, 2458258.9643751]",100.45707491828882,185.57214090579342,2458018.6120664,2460841.802869,1340,415,0,0,0,0,,,,,,,0.0,0.0,False,0,0,0,0,,,,,,,0.0,0.0,False
231929175915,test,1,14.4746,[754],[2460385.8743112],786.0799065453546,544.8690709167378,0,13.9225,[],[],0.0,0.0,2458224.8320955,2460839.5850307,875,505,0,0,0,0,,,,,,,0.0,0.0,False,0,0,0,0,,,,,,,0.0,0.0,False
25770019815,test,3,13.822475,"[180, 941, 1030]","[2458646.9883764, 2460185.916864, 2460343.5637929]",27.346050145920852,62.89311461347009,0,13.333,[],[],0.0,0.0,2458236.9666597,2460841.854132,1137,425,0,0,0,0,,,,,,,0.0,0.0,False,0,0,0,0,,,,,,,0.0,0.0,False
266288137752,test,6,13.061800000000002,"[512, 676, 1195, 1277, 1384, 1440]","[2459209.7488367, 2459443.9239787, 2460230.992806, 2460322.8813254, 2460609.125947, 2460700.846351]",43.924778542391344,2242.082486838588,0,12.939,[],[],0.0,0.0,2458220.6630942,2460712.8469709,1448,378,0,0,0,0,,,,,,,0.0,0.0,False,0,0,0,0,,,,,,,0.0,0.0,False
317827964025,test,5,12.7187,"[40, 247, 547, 645, 778]","[2458385.636145, 2458905.8700151, 2459700.4913098, 2459879.4962352, 2460355.8917492]",59.17321638706365,665.3563856267539,1,9.8602,[121],[2457856.7406188],869.177699835279,602.4680720464021,2458220.9200208,2460608.493962,939,243,0,0,0,0,,,,,,,0.0,0.0,False,0,0,0,0,,,,,,,0.0,0.0,False
326417831663,test,9,13.488800000000001,"[319, 610, 660, 946, 1027, 1078, 1163, 1288, 1349]","[2458742.3449035, 2459340.6747746, 2459371.4112213, 2459711.8236808, 2459788.8197561, 2459846.235688, 2460036.6167431, 2460381.9114086, 2460474.3169572]",3103.66169001339,5646412.529605641,2,12.92785,"[38, 182]","[2457206.950337, 2457855.7269042]",1599.8550872124167,1930.9434349617493,2458220.8697173,2460842.3028251,1485,334,0,0,0,0,,,,,,,0.0,0.0,False,0,0,0,0,,,,,,,0.0,0.0,False
335007754417,test,17,14.4649,"[269, 781, 902, 1040, 1092, 1506, 1641, 1703, 2044, 2140, 2202, 2439, 2599, 2655, 2805, 2913, 3000]","[2458529.7397265, 2458860.6430303, 2458919.6578448, 2459181.6459597, 2459208.9585378, 2459477.8310751, 2459567.6727793, 2459607.8146929, 2459846.823972, 2459891.4893771, 2459923.7551971, 2460038.5826422, 2460224.8158794, 2460253.7475734, 2460372.6978517, 2460447.2958148, 2460633.6700653]",0.0023065313341878086,104798.0431775323,4,14.236775000000002,"[390, 624, 729, 906]","[2457740.8617664, 2458029.815877, 2458120.9326927, 2458232.5615429]",21.094216559290853,103.17036524266045,2458226.6132509,2460839.1903963,3065,967,0,0,0,0,,,,,,,0.0,0.0,False,0,0,0,0,,,,,,,0.0,0.0,False
352187470767,test,7,12.2907,"[1167, 1606, 1820, 1907, 2011, 2077, 2248]","[2459593.4329463, 2459972.4215013, 2460084.581123, 2460254.5470097, 2460336.4907262, 2460392.3464104, 2460835.4916433]",9055.670895132802,1521716.8096644667,3,11.9864,"[46, 172, 232]","[2457529.4962757, 2457821.5500811, 2457908.5583182]",4.325755808556834,5.798563170713083,2458071.8509499,2460837.545273,2250,409,0,0,0,0,,,,,,,0.0,0.0,False,0,0,0,0,,,,,,,0.0,0.0,False
360777377116,test,10,13.1025,"[296, 497, 960, 1085, 1350, 1492, 1585, 1705, 1762, 1949]","[2458619.4929985, 2458849.9127233, 2459432.9308196, 2459584.7155598, 2459844.8294366, 2459962.4577802, 2460021.395827, 2460210.5724144, 2460261.45779, 2460448.4574133]",8.949479188105885,56195.5000595617,2,12.8288,"[436, 570]","[2458080.70106, 2458245.5321174]",4744074.944810728,5725853.883908106,2458226.6144649,2460836.4499458,2057,601,0,0,0,0,,,,,,,0.0,0.0,False,0,0,0,0,,,,,,,0.0,0.0,False
377957522430,test,6,13.3045,"[155, 313, 508, 625, 744, 902]","[2458401.7563164, 2458750.5946463, 2459194.7544075, 2459495.4884581, 2459816.8519735, 2460240.6765118]",403531.4244113842,21864141.249635156,3,12.793050000000001,"[55, 135, 274]","[2457004.9268968, 2457404.7760805, 2458130.8976552]",182.48477933800132,290.05787067650965,2458018.9039737,2460693.4334424,1045,316,0,0,0,0,,,,,,,0.0,0.0,False,0,0,0,0,,,,,,,0.0,0.0,False
377958261591,test,15,13.68395,"[708, 1008, 1430, 1733, 1984, 2226, 2493, 2625, 2795, 2922, 3199, 3278, 3515, 3574, 3669]","[2458713.9230776, 2458838.8759069, 2459198.757843, 2459306.6597479, 2459527.9062311, 2459645.6030295, 2459831.8518683, 2459890.9185408, 2459972.6569107, 2460042.5440265, 2460294.6919778, 2460342.6768485, 2460614.7059973, 2460654.2931056, 2460795.4806701]",0.824309077910591,3625438.9795111185,5,13.11435,"[165, 268, 407, 497, 811]","[2457119.7381868, 2457421.8981162, 2457705.1230011, 2457807.8432309, 2458373.8572835]",356526.37746556854,6584002.803482071,2458057.8282387,2460808.1976509,3676,858,0,0,0,0,,,,,,,0.0,0.0,False,0,0,0,0,,,,,,,0.0,0.0,False
412317159120,test,3,13.964725,"[1450, 1514, 1795]","[2460059.7366254, 2460094.6634924, 2460539.4897057]",150.90657922254977,380.6880151056093,1,13.12855,[97],[2457675.5115441],58658491.916767865,40658968.288005985,2458282.7205978,2460840.3755507,1841,453,0,0,0,0,,,,,,,0.0,0.0,False,0,0,0,0,,,,,,,0.0,0.0,False
438086901547,test,7,13.878,"[257, 355, 433, 504, 586, 654, 731]","[2458909.873056, 2459316.7806734, 2459433.5565254, 2459654.8428998, 2459794.5582602, 2460007.8326957, 2460154.6411824]",75249.53244044431,12650872.33839363,0,13.179649999999999,[],[],0.0,0.0,2458228.9647784,2460836.6316046,852,369,0,0,0,0,,,,,,,0.0,0.0,False,0,0,0,0,,,,,,,0.0,0.0,False
438086977939,test,5,13.0086,"[53, 192, 327, 482, 780]","[2458490.8061155, 2458770.5977337, 2459152.9635164, 2459473.8751269, 2460002.6675178]",128.76345582035736,1914.6238407129747,1,12.62665,[171],[2458111.8261798],82.9404192941098,57.489917788171894,2458355.9174439,2460837.4515305,1013,271,0,0,0,0,,,,,,,0.0,0.0,False,0,0,0,0,,,,,,,0.0,0.0,False
455267102087,test,6,13.555900000000001,"[180, 272, 542, 657, 738, 790]","[2458700.7698068, 2458973.8999735, 2459727.7999345, 2460025.579425, 2460227.2987765, 2460474.3244104]",5.807006923789637,209.26710144695622,0,12.9598,[],[],0.0,0.0,2458228.9647784,2460836.6316046,852,207,0,0,0,0,,,,,,,0.0,0.0,False,0,0,0,0,,,,,,,0.0,0.0,False
463856535113,test,8,13.412,"[731, 824, 1069, 1132, 1473, 1553, 1616, 1766]","[2459001.463259, 2459156.6332366, 2459480.5353987, 2459539.3284617, 2460049.8183676, 2460126.3532361, 2460162.5168377, 2460452.4905054]",79246.39903988471,43049329.68389981,2,13.1717,"[116, 200]","[2457131.8421227, 2457317.5307896]",5956756.97720702,7189498.655005933,2458026.5005673,2460842.4224892,1901,393,0,0,0,0,,,,,,,0.0,0.0,False,0,0,0,0,,,,,,,0.0,0.0,False
472447294641,test,5,13.2116,"[396, 566, 656, 985, 1075]","[2458985.4305628, 2459414.7044844, 2459648.8964393, 2460411.9170624, 2460604.5826784]",696.5535642714337,4532.771955212811,2,12.61205,"[256, 317]","[2457825.850115, 2458047.5527075]",1221.837384145481,774.4404365469368,2458014.4833982,2460836.6811124,1083,364,0,0,0,0,,,,,,,0.0,0.0,False,0,0,0,0,,,,,,,0.0,0.0,False
515396514761,test,8,13.6049,"[464, 1230, 1313, 1379, 1600, 1657, 1722, 1889]","[2458719.4569992, 2459756.7605485, 2459838.6791844, 2459901.5381404, 2460206.7121166, 2460391.9939705, 2460451.8085128, 2460570.6346247]",7.049804162360605,2826.2597061555784,0,12.9404,[],[],0.0,0.0,2458014.5020775,2460842.8698675,1923,375,0,0,0,0,,,,,,,0.0,0.0,False,0,0,0,0,,,,,,,0.0,0.0,False
515397118400,test,10,13.542300000000001,"[598, 747, 839, 1041, 1208, 1329, 1501, 1576, 1756, 1845]","[2459072.3116037, 2459305.4202299, 2459349.4659084, 2459626.6258475, 2459714.3787009, 2459834.4778705, 2460023.8612682, 2460060.3548277, 2460389.785566, 2460449.4857505]",3159.3639626426097,19856093.92843597,4,12.7917,"[88, 180, 240, 377]","[2457754.8226536, 2457864.5490036, 2457963.5237083, 2458226.7481505]",3.048676805759297,7.208730849435632,2458176.7808252,2460840.3642623,1968,450,0,0,0,0,,,,,,,0.0,0.0,False,0,0,0,0,,,,,,,0.0,0.0,False
532576686103,test,6,13.789625000000001,"[340, 469, 569, 660, 722, 1132]","[2459137.5664235, 2459272.2758525, 2459503.8050998, 2459630.4501943, 2459700.2092491, 2460484.2015304]",91.99914244137196,2614.4233654116215,0,13.5121,[],[],0.0,0.0,2458282.4757809,2460838.4981019,1198,266,0,0,0,0,,,,,,,0.0,0.0,False,0,0,0,0,,,,,,,0.0,0.0,False
601296043597,test,22,13.21335,"[91, 178, 242, 369, 432, 659, 846, 903, 979, 1109, 1182, 1292, 1392, 1482, 1536, 1588, 1643, 1715, 1769, 1848, 1902, 2002]","[2458469.6418649, 2458523.6019896, 2458558.5401876, 2458741.9050804, 2458799.7843967, 2458930.6786075, 2459251.6385156, 2459283.7338736, 2459345.5585056, 2459551.7429082, 2459610.8329273, 2459691.6010956, 2459832.6219895, 2459926.7329282, 2459972.5974799, 2460007.7357303, 2460050.5542456, 2460111.4655198, 2460255.7504072, 2460328.709961, 2460375.7480469, 2460598.7881106]",0.0008324952446752304,59505058.88338065,2,13.20165,"[290, 385]","[2458040.8123763, 2458164.685234]",9413330.799693998,9223615.752765711,2458221.6545612,2460838.4806303,2092,518,0,0,0,0,,,,,,,0.0,0.0,False,0,0,0,0,,,,,,,0.0,0.0,False
60130040391,test,2,12.736049999999999,"[495, 553]","[2460108.0331919, 2460287.766477]",7677.075963356017,9265.838856051798,1,12.45,[197],[2458334.0464529],42118469.90586523,29194298.664749388,2458236.9666597,2460841.854132,633,218,0,0,0,0,,,,,,,0.0,0.0,False,0,0,0,0,,,,,,,0.0,0.0,False
609886184506,test,17,13.05795,"[53, 103, 161, 211, 291, 343, 448, 539, 679, 758, 865, 924, 1009, 1098, 1295, 1554, 1972]","[2458477.7820703, 2458505.7775039, 2458534.7127044, 2458562.7305237, 2458594.7777067, 2458621.5640648, 2458706.4636292, 2458870.8119665, 2459173.8591638, 2459242.7130564, 2459311.4170767, 2459333.7402444, 2459384.2921129, 2459567.7440754, 2459688.4419833, 2459994.8382852, 2460432.2945346]",0.25980355486652335,12109766.178821996,0,12.84065,[],[],0.0,0.0,2458176.780827,2460840.3580003,2078,230,0,0,0,0,,,,,,,0.0,0.0,False,0,0,0,0,,,,,,,0.0,0.0,False
635655234580,test,4,13.0733,"[126, 594, 665, 1055]","[2458566.6747394, 2459548.5830237, 2459644.3370817, 2460389.7705887]",396.3860536315128,1265.6723774580657,1,12.9454,[157],[2458105.8103363],262.04803925655114,181.6378595819403,2458282.5461599,2460838.5661009,1128,238,0,0,0,0,,,,,,,0.0,0.0,False,0,0,0,0,,,,,,,0.0,0.0,False
644245387906,test,3,12.4367,"[140, 433, 1061]","[2458550.873127, 2459276.8338624, 2460556.6225934]",3706389.331551961,9869704.517558724,1,12.15145,[242],[2457669.524191],87.03859256256833,60.330555034650054,2458029.4970406,2460837.7583824,1077,370,0,0,0,0,,,,,,,0.0,0.0,False,0,0,0,0,,,,,,,0.0,0.0,False
661425129485,test,7,13.912375,"[16, 324, 427, 483, 786, 896, 954]","[2458358.6058472, 2459245.8233848, 2459387.7245448, 2459489.2881141, 2460093.3419348, 2460417.8047278, 2460509.6817797]",101076.91393840345,16991653.059836905,3,13.270199999999999,"[51, 120, 204]","[2457797.8386629, 2458010.5756166, 2458356.5798578]",151.84040486422327,380.14586483323654,2458282.7131633,2460836.841899,1003,217,0,0,0,0,,,,,,,0.0,0.0,False,0,0,0,0,,,,,,,0.0,0.0,False
68720274411,test,5,13.4482,"[27, 422, 785, 853, 1011]","[2458390.6433795, 2459145.0053589, 2459896.6230664, 2460216.8320111, 2460646.7682218]",27.72740161378697,333.64617198783304,3,12.764949999999999,"[165, 297, 388]","[2457639.9912605, 2458031.9683522, 2458392.0724432]",206.75549869321247,401.1979353505157,2458281.9325599,2460840.9221222,1022,408,0,0,0,0,,,,,,,0.0,0.0,False,0,0,0,0,,,,,,,0.0,0.0,False
