mag_bin,asas_sn_id,index_num,index_csv,lc_dir,dat_path,raw_path,g_n_peaks,g_mean_mag,g_peaks_idx,g_peaks_jd,v_n_peaks,v_mean_mag,v_peaks_idx,v_peaks_jd,jd_first,jd_last,n_rows_g,n_rows_v,g_n_dip_runs,g_n_jump_runs,g_n_dip_points,g_n_jump_points,g_most_recent_dip,g_most_recent_jump,g_max_depth,g_max_height,g_max_dip_duration,g_max_jump_duration,g_dip_fraction,g_jump_fraction,g_is_dip_dominated,v_n_dip_runs,v_n_jump_runs,v_n_dip_points,v_n_jump_points,v_most_recent_dip,v_most_recent_jump,v_max_depth,v_max_height,v_max_dip_duration,v_max_jump_duration,v_dip_fraction,v_jump_fraction,v_is_dip_dominated,raw_median_min,raw_median_min_camera,raw_median_max,raw_median_max_camera,raw_median_range,raw_robust_scatter
13_13.5,377957522430,,,calder/data/skypatrol2,calder/data/skypatrol2/377957522430-light-curves.csv,calder/data/skypatrol2/377957522430.raw,4,13.341355268199234,"[491, 748, 788, 902]","[2459181.3535027, 2459822.0704862, 2459895.4089554, 2460240.6765118]",1,12.802468670886077,[55],[2457004.9268968],2458018.9039737,2460693.4334424,1044,316,9,0,15,0,2460240.6765118,,0.6752187346649645,,9.045429500285536,,0.014367816091954023,0.0,False,2,0,3,0,2458130.8976552,,0.4715584218790472,,1.9661006000824273,,0.00949367088607595,0.0,False,,,,,,
13_13.5,223339338105,,,calder/data/skypatrol2,calder/data/skypatrol2/223339338105-light-curves.csv,calder/data/skypatrol2/223339338105.raw,0,13.374173672400897,[],[],0,13.080497108433734,[],[],2458018.6120664,2460841.802869,1337,415,0,0,0,0,,,,,,,0.0,0.0,False,0,0,0,0,,,,,,,0.0,0.0,False,,,,,,
13_13.5,472447294641,,,calder/data/skypatrol2,calder/data/skypatrol2/472447294641-light-curves.csv,calder/data/skypatrol2/472447294641.raw,0,13.231197414589104,[],[],0,12.612530219780218,[],[],2458014.4833982,2460836.6811124,1083,364,0,0,0,0,,,,,,,0.0,0.0,False,0,0,0,0,,,,,,,0.0,0.0,False,,,,,,
13_13.5,68720274411,,,calder/data/skypatrol2,calder/data/skypatrol2/68720274411-light-curves.csv,calder/data/skypatrol2/68720274411.raw,3,13.457320215897939,"[27, 419, 783]","[2458390.6433795, 2459140.9300927, 2459893.9440027]",0,12.770217892156861,[],[],2458281.9325599,2460840.9221222,1019,408,8,1,13,1,2460646.7682218,2460374.5762152,0.7621953366067835,0.3289562499287033,2.738231200259179,0.0,0.012757605495583905,0.0009813542688910696,False,0,0,0,0,,,,,,,0.0,0.0,False,,,,,,
13_13.5,601296043597,,,calder/data/skypatrol2,calder/data/skypatrol2/601296043597-light-curves.csv,calder/data/skypatrol2/601296043597.raw,0,13.296576147227533,[],[],0,13.203983783783784,[],[],2458221.6545612,2460838.4806303,2092,518,0,0,0,0,,,,,,,0.0,0.0,False,0,0,0,0,,,,,,,0.0,0.0,False,,,,,,
13_13.5,326417831663,,,calder/data/skypatrol2,calder/data/skypatrol2/326417831663-light-curves.csv,calder/data/skypatrol2/326417831663.raw,2,13.486132097100475,"[611, 949]","[2459340.6747805, 2459711.8261436]",1,12.975599401197604,[182],[2457855.7269042],2458220.8697173,2460842.3028251,1483,334,2,0,3,0,2459711.8261436,,0.45007632143294707,,5.899928510189056e-06,,0.0020229265003371545,0.0,False,1,0,1,0,2457855.7269042,,0.3255959405585127,,0.0,,0.0029940119760479044,0.0,False,,,,,,
13_13.5,360777377116,,,calder/data/skypatrol2,calder/data/skypatrol2/360777377116-light-curves.csv,calder/data/skypatrol2/360777377116.raw,1,13.111257205452775,[1695],[2460180.6716552],0,12.853666888519134,[],[],2458226.6144649,2460836.4499458,2054,601,6,1,7,1,2460259.456908,2460248.6057104,1.5258031289708072,0.41260291170936725,10.994922500103712,0.0,0.0034079844206426485,0.0004868549172346641,False,0,0,0,0,,,,,,,0.0,0.0,False,,,,,,
13_13.5,609886184506,,,calder/data/skypatrol2,calder/data/skypatrol2/609886184506-light-curves.csv,calder/data/skypatrol2/609886184506.raw,0,13.03761896966779,[],[],0,12.84092652173913,[],[],2458176.780827,2460840.3580003,2077,230,0,0,0,0,,,,,,,0.0,0.0,False,0,0,0,0,,,,,,,0.0,0.0,False,,,,,,
13_13.5,635655234580,,,calder/data/skypatrol2,calder/data/skypatrol2/635655234580-light-curves.csv,calder/data/skypatrol2/635655234580.raw,0,13.075989688888887,[],[],0,12.947284873949577,[],[],2458282.5461599,2460838.5661009,1125,238,0,1,0,1,,2459687.4762749,,0.3646617293843821,,0.0,0.0,0.0008888888888888889,False,0,0,0,0,,,,,,,0.0,0.0,False,,,,,,
13_13.5,120259184943,,,calder/data/skypatrol2,calder/data/skypatrol2/120259184943-light-curves.csv,calder/data/skypatrol2/120259184943.raw,0,13.171361982248522,[],[],0,12.099976661264183,[],[],2458223.9657461,2460842.9451442,1352,617,1,0,1,0,2459371.8116231,,0.9969391446448785,,0.0,,0.0007396449704142012,0.0,False,0,0,0,0,,,,,,,0.0,0.0,False,,,,,,
13_13.5,463856535113,,,calder/data/skypatrol2,calder/data/skypatrol2/463856535113-light-curves.csv,calder/data/skypatrol2/463856535113.raw,1,13.411825933719095,[1473],[2460049.8183676],0,13.173355470737912,[],[],2458026.5005673,2460842.4224892,1901,393,1,1,2,1,2460049.8572115,2460390.6582657,0.3237912988093985,0.40133311946254757,0.038843899965286255,0.0,0.0010520778537611783,0.0005260389268805891,False,0,0,0,0,,,,,,,0.0,0.0,False,,,,,,
